Public Food Key,Classification,Food Name,"Energy, with dietary fibre","Energy, without dietary fibre",Moisture (water),Protein,Nitrogen,Total fat,Ash,Total dietary fibre,Alcohol,Fructose,Glucose,Sucrose,Maltose,Lactose,Galactose,Maltotriose,Total sugars,Added sugars,Free sugars,Starch,Dextrin,Glycerol,Glycogen,Inulin,Mannitol,Maltodextrin,Oligosaccharides,Raffinose,Stachyose,Sorbitol,Resistant starch,"Available carbohydrate, without sugar alcohols","Available carbohydrate, with sugar alcohols",Acetic acid,Citric acid,Fumaric acid,Lactic acid,Malic acid,Oxalic acid,Propionic acid,Quinic acid,Succinic acid,Tartaric acid,Aluminium (Al),Antimony (Sb),Arsenic (As),Cadmium (Cd),Calcium (Ca),Chromium (Cr),Chloride (Cl),Cobalt (Co),Copper (Cu),Fluoride (F),Iodine (I),Iron (Fe),Lead (Pb),Magnesium (Mg),Manganese (Mn),Mercury (Hg),Molybdenum (Mo),Nickel (Ni),Phosphorus (P),Potassium (K),Selenium (Se),Sodium (Na),Sulphur (S),Tin (Sn),Zinc (Zn),Retinol (preformed vitamin A),Alpha-carotene,Beta-carotene,Cryptoxanthin,Beta-carotene equivalents (provitamin A),Vitamin A retinol equivalents,Lutein,Lycopene,Xanthophyl,Thiamin (B1),Riboflavin (B2),Niacin (B3),Niacin derived from tryptophan,Niacin derived equivalents,Pantothenic acid (B5),Pyridoxine (B6),Biotin (B7),Cobalamin (B12),"Folate, natural",Folic acid,Total folates,Dietary folate equivalents,Vitamin C,Cholecalciferol (D3),Ergocalciferol (D2),25-hydroxy cholecalciferol (25-OH D3),25-hydroxy ergocalciferol (25-OH D2),Vitamin D3 equivalents,Alpha tocopherol,Alpha tocotrienol,Beta tocopherol,Beta tocotrienol,Delta tocopherol,Delta tocotrienol,Gamma tocopherol,Gamma tocotrienol,Vitamin E,C4,,C6,,C8,,C10,,C11,,C12,,C13,,C14,,C15,,C16,,C17,,C18,,C19,,C20,,C21,,C22,,C23,,C24,,Total saturated fatty acids,,C12:1,,C14:1,,C15:1,,C16:1,,C17:1,,C18:1,,C20:1,,C22:1,,C24:1,,Total monounsaturated fatty acids,,C16:2w4,,C16:3,,C18:2w6,,C18:3w3,,C18:3w4,,C18:3w6,,C18:4w1,,C18:4w3,,C20:2w6,,C20:3w3,,C20:3w6,,C20:4w3,,C20:4w6,,C20:5w3,,C22:2w6,,C22:4w6,,C22:5w3,,C22:5w6,,C22:6w3,,Other polyunsaturated fatty acids,,Total polyunsaturated fatty acids,,Total long chain omega 3 fatty acids,,Total undifferentiated fatty acids,,Total trans fatty acids,,Caffeine,Cholesterol,Tryptophan,,Alanine,,Arginine,,Aspartic acid,,Cystine plus cysteine,,Glutamic acid,,Glycine,,Histidine,,Isoleucine,,Leucine,,Lysine,,Methionine,,Phenylalanine,,Proline,,Serine,,Threonine,,Tyrosine,,Valine,
F009582,29202,"Wine, white, chardonnay",307,307,86.8,0.3,0.05,0,0.1,0,10.2,0.1,0.1,0,0,0,,,0.3,0,0.3,0,,,,,,,,,,,,0.3,0.3,0,0,,0.1,0.2,,,0,0.1,0.2,55.1,,0,0,7,0.4,19,,0.015,19.8,0,0.17,0.7,11,0.105,,0,,25,52,0,4,16,,0.09,0,0,0,0,0,0,,,,0,0,0,0.01,0.01,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,0,0,0,0,,,0,0,0,0,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F009586,29202,"Wine, white, riesling",292,292,88.5,0.2,0.03,0,0.1,0,9.6,0.3,0.1,0,0,0,,,0.4,0,0.4,0,,,,,,,,,,,,0.4,0.4,0,0,,0,0.2,,,0,0.1,0.3,41.5,,0,0.3,10,0.8,,,0.029,18,1.5,0.1,0.7,20,0.074,,0,,23,44,0,7,16,,0.08,0,0,0,0,0,0,,,,0,0,0,0.01,0.01,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,0,0,0,0,,,0,0,0,0,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F009581,29202,"Wine, white",301,301,88.1,0.3,0.04,0,0.1,0,10,0.1,0.1,0,0,0,,,0.2,0,0.2,0,,,,,,,,,,,,0.2,0.2,0,0,,0.1,0.2,,,0,0.1,0.2,55,,0,0,8,0.5,,,0.016,19.9,0.1,0.16,0.7,10,0.093,,0,,23,53,0,4,16,,0.08,0,0,0,0,0,0,,,,0,0,0,0.01,0.01,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,0,,,,0,,0,,,,0,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F009580,29202,"Wine, white, cooked",107,107,94.6,0.2,0.04,0,0.2,0,3.4,0.2,0.1,0,0,0,,,0.3,0,1.2,0,,,,,,,,,,,,0.3,0.3,,,,,,,,,,,,,,,9,,,,,,0.4,0.15,,12,,,,,25,56,0,5,,,0.08,0,,0,,0,0,,,,0,0,0.01,0.01,0.02,,0.06,,0,0,0,0,0,2,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,0,0,0,0,,,0,0,0,0,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F009590,29202,"Wine, white, sparkling",306,306,88.3,0.2,0.03,0,0.1,0,9.8,0.5,0.5,0,0,0,,,1,0,1,0,,,,,,,,,,,,1,1,0,0,,0.3,0,,,0,0,0.3,43.2,,0.1,0,7,0.6,14,,0.015,18,0,0.2,0.1,9,0.093,,0,,20,35,0,2,13,,0.06,0,0,0,0,0,0,,,,0,0,0,0.01,0.01,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,0,0,0,0,,,0,0,0,0,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F009592,29202,"Wine, white, sweet dessert style",517,517,74,0.4,0.07,0,0.4,0,8.8,9.5,5.8,0,0,0,,,15.3,0,15.3,0,,,,,,,,,,,,15.3,15.3,0.1,0,,0,0.8,,,,0,0.3,150.4,,1.5,0,15,2.1,,,0.009,,1.9,0.2,2,19,0.191,,1.4,,50,105,0,13,,,0.1,0,0,0,0,0,0,,,,0,0,0,0.02,0.02,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,0,0,0,0,,,0,0,0,0,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F009566,29203,"Wine, fortified, port",624,624,73.7,0.2,0.03,0,0.3,0,14.2,7.6,5.3,0,0,0,,,12.9,0,12.9,0,,,,,,,,,,,,12.9,12.9,0.1,0,,0,0.2,,,0,,0.1,,,,,5,,23,,0.01,28.08,0,0.2,,10,0.083,,,,19,85,0,16,32,,0.06,0,,0,,0,0,,,,0,0,0,0,0,,0.09,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F009567,29203,"Wine, fortified, sherry, dry style (approximately 1% sugars)",431,431,82.1,0.1,0.02,0,0.2,0,14.1,0.6,0.6,0,0,0,,,1.2,0,1.2,0,,,,,,,,,,,,1.2,1.2,,0,,0,0.1,,,0,,0.1,,,,,5,,15,,0,13.86,0,0.06,,6,0.069,,,,12,39,0,19,15,,0.06,0,,0,,0,0,,,,0,0,0,0,0,,0.05,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F009568,29203,"Wine, fortified, sherry, sweet style (approximately 11% sugars)",594,594,75.2,0.2,0.03,0,0.2,0,14,6.5,4.9,0,0,0,,,11.4,0,11.4,0,,,,,,,,,,,,11.4,11.4,,0,,0,0.2,,,0,,0.1,,,,,4,,15,,0.01,15.45,0,0.1,,6,0.062,,,,13,55,0,19,16,,0.06,0,,0,,0,0,,,,0,0,0,0,0,,0.06,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F001068,11801,"Beverage, chocolate flavour, from Milo powder, with regular fat cows milk",417,410,82.7,4.3,0.68,4.2,1.1,0.8,0,0,0.3,1.7,1.1,6.7,0,,9.9,1.5,3.7,1.3,,,,,,,,,,,,11.2,11.2,,,,,,,,,,,113.1,,0.5,0.7,165,6.4,,,0.046,,22.5,2.67,0,20,0.081,0,5.1,,121,206,1.7,40,,,0.49,96,0,21,,21,100,,,,0.193,0.35,0.18,0.92,1.1,0.49,0.07,,0.5,18,0,18,18,6,0.3,0,0,0,0.26,0.1,,0,,0,,0,,0.1,,0.07,,0.06,,0.04,,0.09,,,,0.11,,,,0.45,,0.05,,1.25,,0.03,,0.51,,,,0,,,,0,,,,0,,2.66,,,,,,,,,,,,,,,,,,,,1.07,,,,,,0.08,,0.03,,,,0,,,,,,0,,0,,0,,,,1.52,,0,,0,,0,,2.28,,,,0,,,,0.11,,2.277,,,,150.91,1,11,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F001064,11803,"Beverage, chocolate flavour, from drinking chocolate, with regular fat cows milk",377,376,84.6,3.6,0.57,3.6,0.8,0.1,0,0,0,5.3,0,5.7,,,11,5.3,5.3,0.1,,,,,,,,,,,,11.1,11.1,,,,,,,,,,,,,,,103,,102,,0.076,,20.6,0.16,,20,0.138,,,,98,182,1.3,45,31,,0.51,47,0,17,0,17,49,,,,0.007,0.197,0.22,0.76,0.98,0.37,0.06,4.4,0.5,12,0,12,12,0,0,0,0,0,0.04,0.2,,,,,,,,0.22,,0.05,,0.05,,0.03,,0.07,,,,0.09,,,,0.37,,0.04,,1.09,,0.02,,0.49,,,,0.01,,,,0,,,,0,,2.31,,,,,,,,,,,,,,,,,,,,0.95,,,,,,0.07,,0.02,,,,,,,,,,,,0,,,,,,1.55,,0,,,,,,2.33,,,,0,,,,0.09,,2.328,,,,124.59,3,10,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F003017,11201,"Coffee, black, from instant coffee powder",5,4,99.2,0.2,0.03,0,0.1,0.2,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,0,0,0,0,,0,0,,,,,,10.6,,0.2,0,3,0.1,12,,0.035,80.69,0.8,0.03,0.6,4,0.324,0,0,,3,31,0,3,5,,0.01,0,,0,,0,0,,,,0,0.001,0.22,0.03,0.25,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,0,,,,0,,0,,,,0.03,31,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F003018,11203,"Coffee, black, from instant coffee powder, decaffeinated",5,3,99.2,0.2,0.03,0,0.1,0.2,0,0,0,0,0,0,,,0,0,0,0,,,,,,,,,,,,0,0,,,,,,,,,,,10.6,,0.2,0,3,0.1,12,,0.035,80.69,0.8,0.03,0.6,4,0.324,0,0,,3,31,0,3,5,,0.01,0,,0,,0,0,,,,0,0.001,0.22,0.03,0.25,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,0,,,,0,,0,,,,0.03,1,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F003041,11201,"Coffee, espresso, from ground coffee beans",40,40,92.3,1.7,0.32,0.3,1,0,0,,,,,,,,0,0,0,0,,,,,,,,,,,,0,0,,,,,,,,,,,0,,0,0,11,0,,,0.042,,0,0,1.3,37,0.25,,0,,29,520,0,2,,,0.06,0,,0,,0,0,,,,0,0,5.3,0,5.3,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,3,0.01,1,0,0.5,0,1.3,0,,,0.5,0,,,1.4,0,0.2,0,29,0.07,0.2,0,7.2,0.02,,,2.7,0.01,,,0.6,0,,,0.3,0,47.9,0.11,,,0,0,,,0.4,0,0,0,11,0.03,0.5,0,0,0,0,0,11.9,0.03,,,,,35.9,0.09,2.7,0.01,,,0,0,,,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,0,,,38.6,0.09,0,0,,,1.6,3.84,290,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F003036,11202,"Coffee, cappuccino, from ground coffee beans, with regular fat cows milk",229,229,88.6,3,0.48,2.7,0.8,0,0,,,,,,,,4.8,0.4,0.4,0,,,,,,,,,,,,4.9,4.9,,,,,,,,,,,,,,,81,,,,0.02,,15.9,0.03,,17,0.072,,,,74,234,0.9,28,,,0.28,37,,13,,13,39,,,,0.004,0.151,1.43,0.53,1.96,0.28,0.05,,0.4,9,0,9,9,0,0,0,0,0,0.03,0.1,,,,,,,,0.06,,0.04,,0.04,,0.02,,0.06,,,,0.07,,,,0.29,,0.03,,0.81,,0.02,,0.3,,,,0,,,,0,,,,0,,1.69,,,,,,,,,,,,,,,,,,,,0.68,,,,,,0.07,,0.02,,,,,,,,,,,,0,,,,,,1.22,,0,,,,,,1.83,,,,0,,,,0.09,,1.826,,,,87.26,70,8,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F003048,11202,"Coffee, flat white or latte, from ground coffee beans, with regular fat cows milk",234,234,88.8,3,0.49,2.8,0.8,0,0,,,,,,,,4.8,0,0,0,,,,,,,,,,,,4.8,4.8,,,,,,,,,,,0.8,,0,0,86,0.6,,,0.013,,17,0.02,0.3,15,0.051,,2.4,,77,214,1,29,,,0.29,39,,14,,14,41,,,,0.004,0.162,1.19,0.56,1.75,0.3,0.05,,0.4,10,0,10,10,0,0,0,0,0,0.04,0.1,,0,,0,,0,,0.06,,0.05,,0.04,,0.03,,0.06,,,,0.08,,,,0.31,,0.03,,0.86,,0.02,,0.31,,,,0,,,,0,,,,0,,1.79,,,,0.02,,,,0.04,,0,,0.64,,0,,0,,0,,0.72,,,,,,0.07,,0.02,,,,0,,,,,,0,,0,,0,,,,1.3,,0,,0,,0,,1.95,,,,0,,,,0.09,,1.953,,,,91.91,57,8,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F003065,11201,"Coffee, long black, from ground coffee beans",8,8,98.5,0.3,0.06,0.1,0.2,0,0,,,,,,,,0,0,0,0,,,,,,,,,,,,0,0,,,,,,,,,,,7.3,,0.1,0,3,0,,,0.036,,0.6,0,0.8,8,0.296,,0,,6,104,0,3,,,0.02,0,,0,,0,0,,,,0,0,1.06,0,1.06,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,0,,,,,,,,0.01,,,,,,0.02,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,0,,,,0.02,,0,,,,0.77,58,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F003130,11403,"Cordial base, 25% citrus fruit juice, regular",739,739,73.9,0,0,0,0.1,0,0,14.3,16,15.2,0,0,,,45.5,43.9,45.5,0,,,,,,,,,,,,45.5,45.5,,1.1,,0,0,,,0,,,,,,,4,,9,,0,69.54,1.2,0,,1,0,,,,4,18,0,15,4,,0,0,,3,15,10,2,,,,0,0,2.07,0,2.07,,0.02,,0,12,0,12,12,5,0,0,0,0,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F003158,11401,"Cordial, 25% citrus fruit juice, regular, recommended dilution",149,149,95.3,0,0,0,0,0,0,2.9,3.2,3.1,0,0,,,9.2,8.8,9.2,0,,,,,,,,,,,,9.2,9.2,,0.2,,0,0,,,0,,,,,,,2,,6,,0.028,78.56,0.8,0,,1,0.247,,,,1,4,0,5,4,,0,0,,1,,2,0,,,,0,0,0.42,0,0.42,,0,,0,2,0,2,2,1,0,0,0,0,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,0,,,,0,,0,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F003135,11403,"Cordial base, 40% citrus fruit juice, regular",804,804,70.6,0.3,0.04,0,0.2,0,0,16,19.4,13.7,0,0,,,49,46.6,49,0,,,,,,,,,,,,49,49,,1.5,,0,0,,,0,,,,,,,5,,12,,0,54.9,1.2,0.12,,2,0,,,,6,39,0,52,8,,0,0,0,5,23,16,3,,,,0,0,2.07,0,2.07,0.05,0.02,0.5,0,12,0,12,12,10,0,0,0,0,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F003160,11401,"Cordial, 40% citrus fruit juice, regular, recommended dilution",162,162,94.7,0,0.01,0,0,0,0,3.2,3.9,2.7,0,0,,,9.9,9.4,9.9,0,,,,,,,,,,,,9.9,9.9,,0.3,,0,0,,,0,,,,,,,2,,7,,0.028,75.61,0.8,0.03,,1,0.247,,,,1,8,0,13,4,,0,0,,1,,3,1,,,,0,0,0.42,0,0.42,,0,,0,2,0,2,2,2,0,0,0,0,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,0,,,,0,,0,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F003128,11403,"Cordial base, 5% blackcurrant juice, regular",1126,1126,51.2,0.1,0.02,0,0.1,0,0,,,,,,,,69.5,66.2,69.5,0,,,,,,,,,,,,69.5,69.5,,1,,0,0.1,,,0,,,,,,,7,,7,,0.012,47.58,1.2,0.4,,4,0.012,,,,6,66,0,0,12,,0.07,0,0,0,0,0,0,,,,0,0,0.2,0,0.2,0.07,0.05,1.7,0,1,0,1,1,49,0,0,0,0,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F003156,11401,"Cordial, 25% blackcurrant juice, regular, recommended dilution",200,200,92.4,0,0,0,0,0,0,,,,,,,,12.4,11.8,12.4,0,,,,,,,,,,,,12.4,12.4,,0.2,,0,0,,,0,,,,,,,3,,6,,0.032,75.3,0.8,0.08,,2,0.258,,,,1,12,0,2,5,,0.02,0,,0,,0,0,,,,0,0,0.04,0,0.04,,0.01,,0,0,0,0,0,9,0,0,0,0,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,0,,,,0,,0,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F004099,11307,"Fruit drink, apple juice",168,168,93.3,0,0,0,0.1,0,0,4.4,3.7,2.1,0,0,,,10.2,8.5,10.2,0,,,,,,,,,,,,10.2,10.2,,0.3,,0,0.1,,,0,,,,,,,3,,11,,0,72.8,1,0,,2,0,,,,1,23,0,7,2,,0,0,0,0,46,23,4,,,,0,0,0.19,0,0.19,,0,,0,8,0,8,8,1,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F004102,11307,"Fruit drink, cranberry",189,188,90.6,0,0,0,0.1,0.1,0,,,,,,,,11.8,8.7,11.8,0,,,,,,,,,,,,11.8,11.8,,,,,,,,,,,,,,,8,,,,,,4.2,0.26,,6,,,,,14,21,0.1,17,,,0.1,0,0,28,,28,5,,,,0.009,0.019,0.1,0,0.1,,0.05,,0,1,0,1,1,17,0,0,0,0,0,1.2,,,,,,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F004114,11307,"Fruit drink, orange juice",184,183,93,0.2,0.03,0,0.2,0.1,0,1.1,1,8.7,0,0,0,,10.8,9.4,10.8,0,,,,,,,,,,,,10.8,10.8,0,0.6,,0,0.1,,0,0,,,,,,,8,0.5,11,,0.027,46.8,4.2,0.05,,6,0.001,,0,,7,75,0.5,9,2,,0.01,0,0,36,23,48,8,,,,0,0.021,0,0.01,0.01,0.05,0.02,0.2,0,8,0,8,8,5,0,0,0,0,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,0,0,0,0,,,0,0,0,0,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F004663,11301,"Juice, apple, commercial, added vitamin C",127,126,93.4,0.2,0.03,0,0.3,0.2,0,4.1,2.2,1,0,0,0,,7.4,0,7.4,0,,,,,,,,,,,,7.4,7.4,0,0.1,,0,0.3,,0,0,,,,,,,7,0.5,,,0.017,,4.2,0.05,,6,0.001,,0.5,,8,126,0.5,6,,,0.02,0,0,3,0,3,0,,,,0,0.074,0.26,0,0.26,0,0,,0,33,0,33,33,35,0,0,0,0,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F004656,11301,"Juice, apple & blackcurrant, commercial",171,171,93.7,0.2,0.03,0,0.2,0,0,5.8,2.7,1.2,0,0,,,9.7,0,9.8,0,,,,,,,,,,,,9.7,9.7,,0.8,,,0.4,,,0,,,0,,,0,5,0,,,0.005,,0,0,,4,0.028,,0,,5,99,0,7,3,,0.01,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,28,0,0,0,0,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F004726,11301,"Juice, lemon",120,99,93.4,0.6,0.1,0.2,0.2,2.6,0,0.6,0.8,0.4,0,0,,,1.9,0,0,0,,,,,,,,,,,,1.9,1.9,,4.7,,0,0.3,0,,0,,,,,,,21,,,,,,0,0.32,,9,,,,,17,126,0.4,2,,,0.1,0,0,10,,10,2,,,0,0.04,0.02,0.2,0.05,0.25,,0.08,,0,8,0,8,8,48,0,0,0,0,0,0.2,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,0,,,,0,,0,,,,0,0,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F004729,11301,"Juice, lime",128,93,92,0.8,0.13,0.2,0.3,4.3,0,0.5,0.5,0.2,0,0,,,1.3,0,0,0,,,,,,,,,,,,1.3,1.3,,4.5,,0,0.6,0,,0,,,,,,,23,,,,,,0,0.32,,12,,,,,19,158,0.4,3,,,0.1,0,1,30,,30,5,,,0,0.03,0.02,0.2,0.06,0.26,,0.04,,0,6,0,6,6,47,0,0,0,0,0,0.2,,,,,,,,0.22,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,0,,,,0,,0,,,,0,0,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
